id;titulo;volume;uva;teorAlcoolico;classificacao;URL
43;Taylors Porto Select Reserva;750 ml;Tannat;Sauvignon Blanc (100%);Seco;https://www.vinhosevinhos.com/vinho-guatambu-rastros-do-pampa-tannat-750ml.html#
44;"											(750 ml)""";750 ml;Grillo e Catarratto;Chardonnay, Verdejo e Viura;Seco;https://www.wine.com.br/vinhos/marsala-vergine-soleras-dop/prod11984.html
45;Polo Amateur Chardonnay 2015;750 ml;19.5% ABV;Arinto (100%);Touriga Franca, Touriga Nacional, Tinta Barroca, Tinto CÃ£o, Tinta Roriz e Tinta Amarela;https://www.wine.com.br/vinhos/vinho-do-porto-ferreira-ruby/prod1678.html#comentarios
46;"											(750 ml)""";750 ml;19.5% ABV;Arinto (100%);Touriga Franca, Touriga Nacional, Tinta Barroca, Tinto CÃ£o, Tinta Roriz e Tinta Amarela;https://www.wine.com.br/vinhos/vinho-do-porto-ferreira-ruby/prod1678.html
47;Félix Solís Caliza D.O. La Mancha Branco 2015;2016;Meio Seco/Demi-Sec;Carménère (85%) e Syrah (15%);Branco;https://www.wine.com.br/vinhos/canepa-novisimo-chardonnay-2016/prod16011.html
48;"											(750 ml)""";2016;Meio Seco/Demi-Sec;13.7% ABV;Branco;https://www.wine.com.br/vinhos/canepa-novisimo-pinot-grigio-2016/prod15979.html#comentarios
49;Santa Rita 120 Sauvignon Blanc 2012 375ml;750 ml;Tannat;Chardonnay (100%);Seco;https://www.vinhosevinhos.com/vinho-guatambu-rastros-do-pampa-tannat-750ml.html#sm_megamenu_menu591c302105b73
50;"											(375 ml)""";750 ml;Tannat;18% ABV;Seco;https://www.vinhosevinhos.com/vinho-guatambu-rastros-do-pampa-tannat-750ml.html
51;Canepa Novísimo Sauvignon Blanc 2016;2013;Malbec (100%);Sauvignon Blanc (100%);Tinto;https://www.wine.com.br/vinhos/bodega-amalia-dos-fincas-malbec-2013-375-ml/prod12653.html
52;"											(750 ml)""";2015;Meio Seco/Demi-Sec;Chardonnay (100%);Tinto;https://www.wine.com.br/vinhos/toro-loco-tempranillo-2015/prod15536.html#comentarios
53;Félix Solís Caliza D.O. La Mancha Branco 2015;750 ml;19.5% ABV;15% ABV;Malvasia Fina, CÃ³dega, Rabigato e Gouveio;https://www.wine.com.br/vinhos/vinho-do-porto-ferreira-branco/prod1677.html
54;"											(750 ml)""";750 ml;20% ABV;3 anos em tonéis de carvalho;Castas tradicionais do Douro;https://www.wine.com.br/vinhos/taylors-porto-fine-tawny/prod10727.html
55;Prova Régia Arinto 2014 375ml;2014;Sauvignon Blanc (100%);;Branco;https://www.wine.com.br/vinhos/bodega-amalia-dos-fincas-sauvignon-blanc-2014-375-ml/prod12652.html#comentarios
56;"											(375 ml)""";2015;Seco;;Tinto;https://www.wine.com.br/vinhos/ventisquero-reserva-carmenere-2015-375ml/prod16244.html
57;Prova Régia Arinto 2014 375ml;2015;Seco;;Tinto;https://www.wine.com.br/vinhos/cava-negra-malbec-2015-375ml/prod15523.html
58;"											(375 ml)""";200 ml;11.5% ABV;19% ABV;Macabeo, xare-llo e parellada;https://www.wine.com.br/vinhos/espumante-freixenet-carta-nevada-premium-cava-semi-seco-200-ml/prod7048.html#comentarios
59;Ventisquero Reserva Carménère 2015 375ml;750 ml;Palomino (75%) e Pedro Ximénes (25%);Média de 3 anos em grandes tonéis de carvalho;Suave/Doce;https://www.wine.com.br/vinhos/gonzalez-byass-solera-1847-jerez-cream-d-o/prod11913.html#comentarios
